Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet
TP71,1,VR1-2,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm_VIA,
TP72,1,U5-3,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm_VIA,
TP73,1,Q3B,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm_VIA,
TP74,1,Q1B,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm_VIA,
TP75,1,IN35,,,,OpenTendo-AGB:TestPoint_Pad_D1.0mm_VIA,
TP76,1,VDD35,,,,OpenTendo-AGB:TestPoint_Pad_D1.0mm,
TP77,1,PHI,,,,OpenTendo-AGB:TestPoint_Pad_D1.0mm,
TP78,1,RES,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm_VIA,
TP79,1,P1-GND,,,,OpenTendo-AGB:TestPoint_Pad_D1.0mm,
TP80,1,CK1,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm,
TP81,1,CK2,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm,
TP82,1,FIQ,,,,OpenTendo-AGB:TestPoint_Pad_D1.25mm_VIA,
TP83,1,SW1-2,,,,OpenTendo-AGB:TestPoint_Pad_D1.25mm,
TP84,1,SW1-1,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm,
TP85,1,VCC,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm,
TP86,1,C_SCP,,,,OpenTendo-AGB:TestPoint_Pad_D1.0mm,
TP87,1,C_SS5,,,,OpenTendo-AGB:TestPoint_Pad_D1.0mm,
TP88,1,C_SS3,,,,OpenTendo-AGB:TestPoint_Pad_D1.0mm,
TP89,1,VIN,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm_VIA,
TP90,1,REG_EXT,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm,
TP91,1,VCNT5,,,,OpenTendo-AGB:TestPoint_Pad_D1.0mm,
TP92,1,SO,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm,
TP93,1,SD,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm_VIA,
TP94,1,SI,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm,
TP95,1,SCK,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm_VIA,
TP96,1,U6-LIN,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm,
TP97,1,U6-RIN,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm,
TP98,1,FL,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm,
TP99,1,FR,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm,
TP100,1,FL1,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm,
TP101,1,FL2,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm,
TP102,1,FR1,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm,
TP103,1,FR2,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm,
TP104,1,U6-LOUT,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm_VIA,
TP105,1,U6-ROUT,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm,
TP106,1,VOL,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm_VIA,
TP107,1,VR2-3,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm_VIA,
TP108,1,VR2-1,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm_VIA,
TP109,1,LOUT,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm,
TP110,1,ROUT,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm,
TP111,1,SP,,,,OpenTendo-AGB:TestPoint_Pad_D1.25mm_VIA,
TP112,1,A-GND,,,,OpenTendo-AGB:TestPoint_Pad_D1.0mm,
TP113,1,VDD3,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm,
